Title,Title_link,list-card-price,list-card-type,Field2,Field1,list-card-details,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Price/sqft,Monthly cost
"170 Boulevard SE APT E104, Atlanta, GA 30312",https://www.zillow.com/homedetails/170-Boulevard-SE-APT-E104-Atlanta-GA-30312/2083092378_zpid/,"$424,500",Condo for sale,2 ba,2 bds,-- sqft,"$416,010",Condo,2007,Forced air,Central,No Data,$400/month,No Data,"$2,485"
"170 Boulevard Se # E104, Atlanta, GA 30312",https://www.zillow.com/homedetails/170-Boulevard-Se-E104-Atlanta-GA-30312/88815040_zpid/,"$424,500",Condo for sale,2 ba,2 bds,"1,463 sqft","$415,985",Condo,2007,Forced air,Central,2 spaces,$400/month,$290,"$2,485"
"1167 Rosewood Dr NE, Atlanta, GA 30306",https://www.zillow.com/homedetails/1167-Rosewood-Dr-NE-Atlanta-GA-30306/35895448_zpid/,"$1,550,000",House for sale,6 ba,7 bds,"6,017 sqft","$1,494,642",Single Family,2006,Forced air,Central,No Data,"8,141 sqft",$258,"$7,834"
"375 Highland Ave NE UNIT 610, Atlanta, GA 30312",https://www.zillow.com/homedetails/375-Highland-Ave-NE-UNIT-610-Atlanta-GA-30312/65461131_zpid/,"$317,000",Condo for sale,3 ba,2 bds,"1,478 sqft","$311,896",Condo,2000,Forced air,Central,3 spaces,$395/month,$214,"$1,952"
"146 Mellrich Ave NE, Atlanta, GA 30317",https://www.zillow.com/homedetails/146-Mellrich-Ave-NE-Atlanta-GA-30317/14469961_zpid/,"Est. $300,597",Pre-foreclosure / Auction,2 ba,2 bds,"1,568 sqft","$300,597",Single Family,1950,Forced air,Central,"Carport, Off street","8,712 sqft",,"$1,486"
"245 Rockyford Rd NE, Atlanta, GA 30317",https://www.zillow.com/homedetails/245-Rockyford-Rd-NE-Atlanta-GA-30317/14470067_zpid/,"Est. $266,546",Pre-foreclosure / Auction,1 ba,3 bds,"1,111 sqft","$266,546",Single Family,1940,Forced air,Central,No Data,"8,712 sqft",,"$1,431"
"1100 Rosedale Dr NE, Atlanta, GA 30306",https://www.zillow.com/homedetails/1100-Rosedale-Dr-NE-Atlanta-GA-30306/35895949_zpid/,"$1,349,500",House for sale,5 ba,5 bds,"4,652 sqft","$1,302,149",Single Family,2006,"Forced air, Heat pump",Central,3 spaces,"7,318 sqft",$290,"$6,820"
"212 Kirkwood Rd NE, Atlanta, GA 30317",https://www.zillow.com/homedetails/212-Kirkwood-Rd-NE-Atlanta-GA-30317/172742909_zpid/,"$889,900",Apartment for sale,-- ba,Studio,146 sqft,"$876,551",Multi Family,1957,No Data,No Data,No Data,"$6,095",,"$4,527"
"349 N Highland Ave NE, Atlanta, GA 30307",https://www.zillow.com/homedetails/349-N-Highland-Ave-NE-Atlanta-GA-30307/65460675_zpid/,"$1,195,000",House for sale,4 ba,4 bds,"3,268 sqft","$1,158,843",Single Family,2002,Forced air,Central,2 spaces,"7,797 sqft",$366,"$6,040"
"1520 Woodbine Ave SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/1520-Woodbine-Ave-SE-Atlanta-GA-30317/14467208_zpid/,"$499,900",House for sale,3 ba,4 bds,"2,300 sqft","$487,949",Single Family,2018,Forced air,Central,1 space,0.3 acres,$217,"$2,472"
"2821 Memorial Dr SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/2821-Memorial-Dr-SE-Atlanta-GA-30317/14457566_zpid/,"$539,900",House for sale,4 ba,4 bds,"2,449 sqft","$531,283",Single Family,1940,"Forced air, Heat pump",Central,Attached Garage,0.3 acres,$220,"$2,670"
"170 Boulevard SE APT E314, Atlanta, GA 30312",https://www.zillow.com/homedetails/170-Boulevard-SE-APT-E314-Atlanta-GA-30312/2086600256_zpid/,"$550,000",Make Me Move®,2 ba,2 bds,"2,012 sqft","$531,711",Condo,2007,Forced air,Central,2 spaces,No Data,$258,"$2,701"
"19 Hilliard St SE APT 15, Atlanta, GA 30312",https://www.zillow.com/homedetails/19-Hilliard-St-SE-APT-15-Atlanta-GA-30312/2088490954_zpid/,"$317,000",For sale by owner,1 ba,1 bd,"1,758 sqft","$341,337",Condo,1944,Forced air,Central,No Data,$225/month,$180,"$1,782"
"208 1st Ave SE, Atlanta, GA",https://www.zillow.com/homedetails/208-1st-Ave-SE-Atlanta-GA-30317/2090635256_zpid/,"$479,900",New construction,4 ba,4 bds,"2,412 sqft","$471,012",Single Family,2018,No Data,No Data,No Data,No Data,$199,"$2,493"
"1261 Virginia Ave NE APT 5, Atlanta, GA",https://www.zillow.com/homedetails/1261-Virginia-Ave-NE-APT-5-Atlanta-GA-30306/2083131055_zpid/,"$1,129,000",New construction,5 ba,4 bds,"2,625 sqft","$1,102,744",Townhouse,2019,No Data,No Data,No Data,No Data,$430,"$6,010"
"1261 Virginia Ave NE, Atlanta, GA",https://www.zillow.com/homedetails/1261-Virginia-Ave-NE-Atlanta-GA-30306/2095094359_zpid/,"$1,494,900",New construction,5 ba,4 bds,"2,931 sqft","$1,463,066",Single Family,2019,Forced air,Central,Off street,No Data,$510,"$7,871"
"381 Ralph Mcgill Blvd NE APT G, Atlanta, GA 30312",https://www.zillow.com/homedetails/381-Ralph-Mcgill-Blvd-NE-APT-G-Atlanta-GA-30312/65461362_zpid/,"$199,000",Condo for sale,3 ba,2 bds,"1,160 sqft","$196,935",Condo,1980,Forced air,Central,2 spaces,$579/month,$172,"$1,603"
"1040 Hill St SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/1040-Hill-St-SE-Atlanta-GA-30315/69345215_zpid/,"$549,000",House for sale,3 ba,4 bds,"1,776 sqft","$543,924",Single Family,2008,"Forced air, Heat pump","Central, Refrigeration",2 spaces,"9,234 sqft",$309,"$2,696"
"455 Glen Iris Dr NE UNIT A, Atlanta, GA 30308",https://www.zillow.com/homedetails/455-Glen-Iris-Dr-NE-UNIT-A-Atlanta-GA-30308/71752549_zpid/,"$750,000",Condo for sale,3 ba,4 bds,"3,225 sqft","$737,653",Condo,2005,Forced air,Central,2 spaces,$450/month,$233,"$4,241"
"2029 Memorial Dr SE # 25, Atlanta, GA",https://www.zillow.com/homedetails/2029-Memorial-Dr-SE-25-Atlanta-GA-30317/2083144262_zpid/,"$494,900",New construction,5 ba,4 bds,"2,605 sqft",,Townhouse,2019,Forced air,Central,Attached Garage,No Data,$190,"$2,447"
"2029 Memorial Dr SE # 21, Atlanta, GA",https://www.zillow.com/homedetails/2029-Memorial-Dr-SE-21-Atlanta-GA-30317/2083145183_zpid/,"$499,900",New construction,5 ba,4 bds,"2,605 sqft",,Townhouse,2019,Forced air,Central,Attached Garage,No Data,$192,"$2,472"
"663 Bryan St SE, Atlanta, GA 30312",https://www.zillow.com/homedetails/663-Bryan-St-SE-Atlanta-GA-30312/35865559_zpid/,"$475,000",For sale by owner,2 ba,3 bds,"1,273 sqft","$445,706",Single Family,1920,Forced air,Central,3 spaces,"4,791 sqft",$373,"$2,333"
"1055 Bellevue Dr NE, Atlanta, GA",https://www.zillow.com/homedetails/1055-Bellevue-Dr-NE-Atlanta-GA-30306/35895383_zpid/,"$1,650,000",New construction,6 ba,6 bds,"4,859 sqft","$1,611,760",Single Family,2019,Forced air,Central,4 spaces,"8,450 sqft",$340,"$8,339"
"1224 Wylie St SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/1224-Wylie-St-SE-Atlanta-GA-30317/87685558_zpid/,"$499,900",Apartment for sale,2 ba,6 bds,"1,900 sqft","$487,108",Multi Family,1988,Forced air,Central,Off street,$263,,"$2,472"
"1591 Mcpherson Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/1591-Mcpherson-Ave-SE-Atlanta-GA-30316/14457063_zpid/,"$129,900",Lot / Land for sale,,0.6 acres lot,,,,,,,,,,$673
"1709 Fairway Hill Dr SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/1709-Fairway-Hill-Dr-SE-Atlanta-GA-30317/14457199_zpid/,"$313,000",House for sale,1 ba,2 bds,"1,140 sqft","$309,728",Single Family,1948,Forced air,Central,No Data,0.3 acres,$275,"$1,548"
"870 Inman Village Pkwy NE APT 215, Atlanta, GA 30307",https://www.zillow.com/homedetails/870-Inman-Village-Pkwy-NE-APT-215-Atlanta-GA-30307/88823388_zpid/,"$305,000",Condo for sale,1 ba,1 bd,737 sqft,,Condo,2007,Forced air,Central,1 space,$252/month,$414,"$1,750"
"255 Southerland Ter NE UNIT 106, Atlanta, GA 30307",https://www.zillow.com/homedetails/255-Southerland-Ter-NE-UNIT-106-Atlanta-GA-30307/2083160817_zpid/,"$425,000",Townhouse for sale,5 ba,3 bds,"2,274 sqft","$410,498",Townhouse,2011,Forced air,Central,No Data,871 sqft,$187,"$2,351"
"1536 Marona St NE, Atlanta, GA 30307",https://www.zillow.com/homedetails/1536-Marona-St-NE-Atlanta-GA-30307/14468845_zpid/,$--,Pre-foreclosure / Auction,3 ba,3 bds,"1,379 sqft",,Single Family,1988,No Data,Central,Attached Garage,"8,712 sqft",,$0
"706 Argonne Ave NE, Atlanta, GA 30308",https://www.zillow.com/homedetails/706-Argonne-Ave-NE-Atlanta-GA-30308/55016253_zpid/,"Est. $140,492",Pre-foreclosure / Auction,1 ba,2 bds,667 sqft,"$140,492",Condo,1965,Forced air,Central,1 space,$295/month,,"$1,018"
"795 Grant St SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/795-Grant-St-SE-Atlanta-GA-30315/35877604_zpid/,$--,Pre-foreclosure / Auction,2 ba,3 bds,"1,560 sqft",,Single Family,1920,Forced air,"Central, Other",3 spaces,"4,356 sqft",,$0
"946 Highland Vw NE, Atlanta, GA 30306",https://www.zillow.com/homedetails/946-Highland-Vw-NE-Atlanta-GA-30306/35895889_zpid/,"Est. $536,607",Pre-foreclosure / Auction,2 ba,4 bds,"1,952 sqft","$536,607",Single Family,1920,Forced air,Central,No Data,"5,998 sqft",,"$2,712"
"815 Commonwealth Ave SE, Atlanta, GA 30312",https://www.zillow.com/homedetails/815-Commonwealth-Ave-SE-Atlanta-GA-30312/69381305_zpid/,$--,Pre-foreclosure / Auction,3 ba,2 bds,872 sqft,,Condo,2004,Forced air,Central,1 space,No Data,,$0
"790 North Ave NE APT 204, Atlanta, GA 30306",https://www.zillow.com/homedetails/790-North-Ave-NE-APT-204-Atlanta-GA-30306/2083190805_zpid/,"$369,900",Condo for sale,2 ba,1 bd,993 sqft,"$363,186",Condo,2000,Forced air,Central,1 space,$258/month,$373,"$2,075"
"111 Marona St NE, Atlanta, GA 30307",https://www.zillow.com/homedetails/111-Marona-St-NE-Atlanta-GA-30307/14468855_zpid/,"$325,000",House for sale,2 ba,2 bds,"1,120 sqft",,Single Family,1988,Electric,Central,Carport,"8,712 sqft",$290,"$1,607"
"768 Kirkwood Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/768-Kirkwood-Ave-SE-Atlanta-GA-30316/171602917_zpid/,"$699,000",House for sale,5 ba,4 bds,"2,479 sqft","$681,806",Single Family,2016,Forced air,Central,No Data,"5,009 sqft",$282,"$3,533"
"1591 Alder Ct SE, Atlanta, GA",https://www.zillow.com/homedetails/1591-Alder-Ct-SE-Atlanta-GA-30317/14467116_zpid/,"$599,900",New construction,4 ba,4 bds,"2,600 sqft",,Single Family,2019,"Baseboard, Forced air",Central,2 spaces,"8,712 sqft",$231,"$2,968"
"1660 Braeburn Dr SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/1660-Braeburn-Dr-SE-Atlanta-GA-30316/14455424_zpid/,"$299,900",House for sale,2 ba,3 bds,"1,184 sqft","$295,611",Single Family,1948,"Forced air, Heat pump",Central,Off street,"8,712 sqft",$253,"$1,483"
"96 Rogers St NE # 14, Atlanta, GA 30317",https://www.zillow.com/homedetails/96-Rogers-St-NE-14-Atlanta-GA-30317/2083223803_zpid/,"$597,076",Townhouse for sale,4 ba,3 bds,-- sqft,,Townhouse,2019,Gas,Central,Attached Garage,No Data,No Data,"$2,975"
"94 Rogers St NE # 13, Atlanta, GA 30317",https://www.zillow.com/homedetails/94-Rogers-St-NE-13-Atlanta-GA-30317/2083224020_zpid/,"$566,847",Townhouse for sale,4 ba,3 bds,-- sqft,,Townhouse,2019,Gas,Central,Attached Garage,No Data,No Data,"$2,826"
"1145 Kirkwood Ave SE # 12, Atlanta, GA 30316",https://www.zillow.com/homedetails/1145-Kirkwood-Ave-SE-12-Atlanta-GA-30316/2084906974_zpid/,"$569,900",Townhouse for sale,5 ba,4 bds,"2,533 sqft",,Townhouse,2019,Forced air,Central,Attached Garage,No Data,$225,"$2,801"
"405 Arnold St NE, Atlanta, GA 30308",https://www.zillow.com/homedetails/405-Arnold-St-NE-Atlanta-GA-30308/35879466_zpid/,"$625,000",For sale by owner,2 ba,3 bds,"1,681 sqft","$749,374",Single Family,1920,Other,Central,No Data,"8,416 sqft",$372,"$3,159"
"1181 Woodland Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/1181-Woodland-Ave-SE-Atlanta-GA-30316/65440428_zpid/,"$354,000",House for sale,1 ba,3 bds,"1,100 sqft","$346,701",Single Family,1925,Forced air,Central,4 spaces,0.31 acres,$322,"$1,739"
"297 Oxford Pl NE, Atlanta, GA 30307",https://www.zillow.com/homedetails/297-Oxford-Pl-NE-Atlanta-GA-30307/14468978_zpid/,"$875,000",House for sale,3 ba,4 bds,"4,186 sqft","$861,825",Single Family,1910,Forced air,Central,2 spaces,0.3 acres,$209,"$4,451"
"200 N Highland Ave NE UNIT 303, Atlanta, GA 30307",https://www.zillow.com/homedetails/200-N-Highland-Ave-NE-UNIT-303-Atlanta-GA-30307/92191475_zpid/,"$485,000",Condo for sale,2 ba,2 bds,"1,340 sqft",,Condo,2008,Forced air,Central,No Data,$406/month,$362,"$2,788"
"170 Boulevard Se Atlanta Ga # 30312, Atlanta, GA 30312",https://www.zillow.com/homedetails/170-Boulevard-Se-Atlanta-Ga-30312-Atlanta-GA-30312/2094028702_zpid/,"$275,000",Apartment for sale,1 ba,1 bd,794 sqft,"$264,785",Multi Family,2006,Forced air,Other,2 spaces,$346,,"$1,643"
"375 Highland Ave NE UNIT 1008, Atlanta, GA 30312",https://www.zillow.com/homedetails/375-Highland-Ave-NE-UNIT-1008-Atlanta-GA-30312/2083851082_zpid/,"$229,000",Townhouse for sale,2 ba,1 bd,"1,075 sqft","$225,245",Townhouse,2000,Forced air,Other,4 spaces,949 sqft,$213,"$1,199"
"1137 Morley Ave SE, Atlanta, GA 30312",https://www.zillow.com/homedetails/1137-Morley-Ave-SE-Atlanta-GA-30312/65460979_zpid/,"Est. $343,301",Pre-foreclosure / Auction,3 ba,4 bds,"1,840 sqft","$343,301",Single Family,2001,"Forced air, Other",None,2 spaces,"6,098 sqft",,"$1,686"
"254 Daniel Ave SE, Atlanta, GA",https://www.zillow.com/homedetails/254-Daniel-Ave-SE-Atlanta-GA-30317/240154998_zpid/,"$929,900",New construction,5 ba,5 bds,"4,300 sqft","$903,847",Single Family,2019,Forced air,Central,No Data,0.43 acres,$216,"$4,731"
"1030 Los Angeles Ave NE, Atlanta, GA 30306",https://www.zillow.com/homedetails/1030-Los-Angeles-Ave-NE-Atlanta-GA-30306/35895540_zpid/,"$674,999",House for sale,2 ba,4 bds,"1,893 sqft",,Single Family,1930,Forced air,Central,No Data,"7,361 sqft",$357,"$3,411"
"870 Inman Village Pkwy NE #426, Atlanta, GA 30307",https://www.zillow.com/homedetails/870-Inman-Village-Pkwy-NE-426-Atlanta-GA-30307/88820468_zpid/,"$495,000",Condo for sale,2 ba,2 bds,"1,305 sqft","$484,851",Condo,2007,Forced air,Central,2 spaces,$447/month,$379,"$2,878"
"905 Teton Ave SE, Atlanta, GA 30312",https://www.zillow.com/homedetails/905-Teton-Ave-SE-Atlanta-GA-30312/69352141_zpid/,"$408,500",House for sale,3 ba,3 bds,"2,011 sqft","$403,011",Single Family,2005,Other,Central,2 spaces,0.27 acres,$203,"$2,006"
"174 Clifton St SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/174-Clifton-St-SE-Atlanta-GA-30317/14466982_zpid/,"$565,000",House for sale,4 ba,4 bds,"2,350 sqft","$548,825",Single Family,1937,Forced air,Central,1 space,"8,712 sqft",$240,"$2,794"
"841 Inman Village Pkwy NE, Atlanta, GA 30307",https://www.zillow.com/homedetails/841-Inman-Village-Pkwy-NE-Atlanta-GA-30307/69367680_zpid/,"$719,900",Townhouse for sale,4 ba,3 bds,"2,145 sqft","$705,961",Townhouse,2005,Forced air,Central,4 spaces,871 sqft,$336,"$3,894"
"594 Brownwood Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/594-Brownwood-Ave-SE-Atlanta-GA-30316/14456314_zpid/,"$289,900",House for sale,2 ba,3 bds,"1,552 sqft","$285,206",Single Family,1923,Forced air,Central,Detached Garage,"8,712 sqft",$187,"$1,433"
"307 Cherokee Ave SE APT 14, Atlanta, GA 30312",https://www.zillow.com/homedetails/307-Cherokee-Ave-SE-APT-14-Atlanta-GA-30312/65461080_zpid/,"$320,000",Condo for sale,2 ba,1 bd,724 sqft,"$311,832",Condo,2002,Forced air,Central,1 space,$123/month,$442,"$1,695"
"856 Briarcliff Rd NE APT 2, Atlanta, GA 30306",https://www.zillow.com/homedetails/856-Briarcliff-Rd-NE-APT-2-Atlanta-GA-30306/2083362812_zpid/,"$184,900",Condo for sale,1 ba,1 bd,696 sqft,,Condo,1940,Forced air,Central,No Data,No Data,$266,$958
"2506 Memorial Dr SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/2506-Memorial-Dr-SE-Atlanta-GA-30317/14465567_zpid/,"$599,900",House for sale,3 ba,3 bds,"2,588 sqft","$583,321",Single Family,1920,Forced air,Central,Attached Garage,"8,712 sqft",$232,"$2,968"
"114 Warren St SE, Atlanta, GA",https://www.zillow.com/homedetails/114-Warren-St-SE-Atlanta-GA-30317/14466508_zpid/,"$829,900",New construction,4 ba,5 bds,"3,895 sqft","$810,748",Single Family,2019,Forced air,Central,2 spaces,0.4 acres,$213,"$4,222"
"154 Savannah St SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/154-Savannah-St-SE-Atlanta-GA-30316/35862534_zpid/,"$425,000",House for sale,2 ba,2 bds,"1,138 sqft","$415,453",Single Family,1920,Forced air,Central,No Data,"2,787 sqft",$373,"$2,087"
"767 Aerial Way, Atlanta, GA",https://www.zillow.com/homedetails/767-Aerial-Way-Atlanta-GA-30312/2083392138_zpid/,"$417,046",New construction,4 ba,3 bds,"1,789 sqft","$406,780",Townhouse,2019,No Data,No Data,2 spaces,No Data,$233,"$2,048"
"771 Aerial Way, Atlanta, GA",https://www.zillow.com/homedetails/771-Aerial-Way-Atlanta-GA-30312/2083392139_zpid/,"$428,713",New construction,4 ba,3 bds,"1,789 sqft","$420,477",Townhouse,2019,No Data,No Data,2 spaces,No Data,$240,"$2,106"
"589 Auburn Ave NE UNIT A, Atlanta, GA 30312",https://www.zillow.com/homedetails/589-Auburn-Ave-NE-UNIT-A-Atlanta-GA-30312/69374676_zpid/,"$329,000",Condo for sale,2 ba,2 bds,"1,000 sqft","$320,824",Condo,1941,Other,Central,2 spaces,$347/month,$329,"$1,963"
"1411 Boulevard Se, Atlanta, GA 30315",https://www.zillow.com/homedetails/1411-Boulevard-Se-Atlanta-GA-30315/35877023_zpid/,"$385,000",House for sale,2 ba,3 bds,"1,779 sqft",,Single Family,1930,Forced air,Central,Detached Garage,"9,500 sqft",$216,"$1,891"
"384 Ralph Mcgill Blvd NE UNIT 105, Atlanta, GA 30312",https://www.zillow.com/homedetails/384-Ralph-Mcgill-Blvd-NE-UNIT-105-Atlanta-GA-30312/2084418857_zpid/,"$275,000",Condo for sale,2 ba,2 bds,"1,088 sqft","$266,798",Condo,2006,Forced air,Central,1 space,$465/month,$253,"$1,816"
"148 Waverly Way NE APT 8, Atlanta, GA 30307",https://www.zillow.com/homedetails/148-Waverly-Way-NE-APT-8-Atlanta-GA-30307/35843581_zpid/,"$219,900",Condo for sale,1 ba,2 bds,754 sqft,,Condo,1965,Forced air,Central,"Off street, On street",$225/month,$292,"$1,357"
"190 Central Park Cir NE, Atlanta, GA 30312",https://www.zillow.com/homedetails/190-Central-Park-Cir-NE-Atlanta-GA-30312/2083425301_zpid/,"$679,500",House for sale,4 ba,3 bds,"2,709 sqft","$661,030",Single Family,2016,Forced air,Central,4 spaces,"1,045 sqft",$251,"$3,684"
"2157 Settle Cir SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/2157-Settle-Cir-SE-Atlanta-GA-30316/14446960_zpid/,"$274,900",House for sale,2 ba,3 bds,"1,250 sqft","$260,363",Single Family,1953,Forced air,"Central, Other",2 spaces,0.3 acres,$220,"$1,359"
"1393 Glenwood Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/1393-Glenwood-Ave-SE-Atlanta-GA-30316/14455857_zpid/,"$300,000",House for sale,2 ba,4 bds,"1,799 sqft","$290,154",Single Family,1935,Other,None,No Data,0.3 acres,$167,"$1,483"
"24 Finch Trl NE, Atlanta, GA 30308",https://www.zillow.com/homedetails/24-Finch-Trl-NE-Atlanta-GA-30308/35881217_zpid/,"$219,899",Condo for sale,2 ba,2 bds,"1,177 sqft","$214,785",Condo,1985,Forced air,Central,No Data,$329/month,$187,"$1,461"
"540 Flat Shoals Ave SE # 21, Atlanta, GA",https://www.zillow.com/homedetails/540-Flat-Shoals-Ave-SE-21-Atlanta-GA-30316/2083444620_zpid/,"$514,900",New construction,4 ba,3 bds,"1,904 sqft","$506,791",Townhouse,2019,No Data,No Data,No Data,No Data,$270,"$2,721"
"1307 Glenwood Ave SE # 4, Atlanta, GA",https://www.zillow.com/homedetails/1307-Glenwood-Ave-SE-4-Atlanta-GA-30316/2083444630_zpid/,"$549,900",New construction,4 ba,3 bds,"1,910 sqft","$541,240",Townhouse,2019,No Data,No Data,No Data,No Data,$288,"$2,894"
"986 Wylie St SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/986-Wylie-St-SE-Atlanta-GA-30316/69343871_zpid/,"$550,000",Make Me Move®,3 ba,4 bds,"2,568 sqft","$593,494",Single Family,2006,Forced air,Central,Off street,"3,999 sqft",$214,"$2,701"
"744 Elkmont Dr NE, Atlanta, GA 30306",https://www.zillow.com/homedetails/744-Elkmont-Dr-NE-Atlanta-GA-30306/35930811_zpid/,"$929,000",House for sale,3 ba,4 bds,"3,008 sqft","$905,449",Single Family,1930,Forced air,Central,2 spaces,"8,712 sqft",$309,"$4,695"
"800 Fulton Ter SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/800-Fulton-Ter-SE-Atlanta-GA-30316/35862807_zpid/,"$585,000",House for sale,3 ba,3 bds,"1,850 sqft","$568,018",Single Family,1920,Forced air,Central,Detached Garage,"2,613 sqft",$316,"$2,875"
"771 Aerial Way # 61, Atlanta, GA",https://www.zillow.com/homedetails/771-Aerial-Way-61-Atlanta-GA-30312/2083489670_zpid/,"$428,713",New construction,4 ba,3 bds,"1,789 sqft","$414,514",Townhouse,2019,No Data,No Data,No Data,No Data,$240,"$2,296"
"19 Hilliard St SE APT 10, Atlanta, GA 30312",https://www.zillow.com/homedetails/19-Hilliard-St-SE-APT-10-Atlanta-GA-30312/2083678935_zpid/,"$275,000",Condo for sale,1 ba,2 bds,"1,250 sqft","$264,215",Condo,1944,Forced air,Central,Off street,$250/month,$220,"$1,601"
"364 Hooper St SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/364-Hooper-St-SE-Atlanta-GA-30317/14457629_zpid/,"Est. $522,209",Pre-foreclosure / Auction,4 ba,5 bds,"2,842 sqft","$522,209",Single Family,1947,"Forced air, Heat pump",Central,"Attached Garage, Detached Garage",0.5 acres,,"$2,657"
"1672 Glencove Ave SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/1672-Glencove-Ave-SE-Atlanta-GA-30317/14457379_zpid/,"Est. $235,368",Pre-foreclosure / Auction,1 ba,2 bds,876 sqft,"$235,368",Single Family,1948,Other,Central,No Data,0.3 acres,,"$1,264"
"90 Rogers St NE # 12, Atlanta, GA 30317",https://www.zillow.com/homedetails/90-Rogers-St-NE-12-Atlanta-GA-30317/2083517354_zpid/,"$572,232",Townhouse for sale,4 ba,3 bds,-- sqft,,Townhouse,2019,Gas,Central,Attached Garage,No Data,No Data,"$2,852"
"327 3rd St NE APT 1, Atlanta, GA 30308",https://www.zillow.com/homedetails/327-3rd-St-NE-APT-1-Atlanta-GA-30308/55016196_zpid/,"Est. $100,429",Pre-foreclosure / Auction,1 ba,1 bd,435 sqft,"$100,429",Condo,1965,Forced air,Central,No Data,$28/month,,$545
"262 Southerland Ter NE # 31, Atlanta, GA",https://www.zillow.com/homedetails/262-Southerland-Ter-NE-31-Atlanta-GA-30307/2083536736_zpid/,"$498,695",New construction,3 ba,2 bds,"1,517 sqft","$482,678",Townhouse,2019,Forced air,Central,No Data,No Data,$329,"$2,616"
